"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 30 10:00:09 MSK 2025","Thu Oct 30 10:00:09 MSK 2025","295","auto_tests.nomerogram-api-tests.tests","test_nomerogram","TestNomerogramApi","","","Получение статистики за прошедшую неделю","Тест проверяет получение статистики за прошедшую неделю"
"passed","Thu Oct 30 10:00:08 MSK 2025","Thu Oct 30 10:00:09 MSK 2025","275","auto_tests.nomerogram-api-tests.tests","test_nomerogram","TestNomerogramApi","","","Получение статистики за прошедший день","Тест проверяет получение статистики за прошедший день"
"failed","Thu Oct 30 10:00:08 MSK 2025","Thu Oct 30 10:00:08 MSK 2025","145","auto_tests.nomerogram-api-tests.tests","test_nomerogram","TestNomerogramApi","","","Проверка работоспособности API gibdd и метода auto","Тест проверяет работоспособность API и метода."
"passed","Thu Oct 30 10:00:09 MSK 2025","Thu Oct 30 10:00:09 MSK 2025","314","auto_tests.nomerogram-api-tests.tests","test_nomerogram","TestNomerogramApi","","","Получение статистики за прошедший месяц","Тест проверяет получение статистики за прошедший месяц"
"passed","Thu Oct 30 10:00:08 MSK 2025","Thu Oct 30 10:00:08 MSK 2025","123","auto_tests.nomerogram-api-tests.tests","test_nomerogram","TestNomerogramApi","","","Проверка работоспособности API fssp и метода physical","Тест проверяет работоспособность API и метода."
"passed","Thu Oct 30 10:00:08 MSK 2025","Thu Oct 30 10:00:08 MSK 2025","292","auto_tests.nomerogram-api-tests.tests","test_nomerogram","TestNomerogramApi","","","Получение баланса","Тест проверяет получение баланса."
